FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
187,,1946,Person,1946-187,1.8,linens,,2.00705E+13,19460728,digitised,JA70003000,,1970218,18001.0554,503.4333,,
189,,1946,Person,1946-189,3.4,linens,,2.00705E+13,19460724,digitised,JA70003000,,1970219,34138.6712,857.6615,,
190a,,1946,Person,1946-190a,2.1,linens,,2.00705E+13,19460724,digitised,JA70003000,,1970220,21614.7844,542.3635,,
192a,,1946,Person,1946-192a,2.2,linens,,2.00705E+13,19460722,digitised,JA70003000,,1970221,22373.6785,572.6895,,
1a,,1946,Person,1946-1a,2.9,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970222,29850.7774,692.9303,,
1a,,1946,Person,1946-1a,12,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970223,120525.6278,1664.1629,,
386,,1946,Lightning,1946-386,237.1,linens,,2.00705E+13,19460905,digitised,JA70003000,,1970344,2371485.765,6561.4651,,
388,,1946,Lightning,1946-388,14.1,linens,,2.00705E+13,19460819,digitised,JA70003000,,1970345,141070.2351,1477.1311,,
395,,1946,Lightning,1946-395,35.5,linens,,2.00705E+13,19460822,digitised,JA70003000,,1970346,355393.6327,2453.8629,,
396a,,1946,Lightning,1946-396a,1.5,linens,,2.00705E+13,19460819,digitised,JA70003000,,1970347,15756.2912,591.4708,,
397,,1946,Lightning,1946-397,60.4,linens,,2.00705E+13,19460820,digitised,JA70003000,,1970348,604712.5574,4534.4376,,
397,,1946,Lightning,1946-397,148.7,linens,,2.00705E+13,19460820,digitised,JA70003000,,1970349,1487656.347,5460.4336,,
33,,1945,Person,1945-33,106.6,linens,,2.00705E+13,19450529,digitised,JA70003000,,1970046,1066520.112,5751.6773,,
33,,1945,Person,1945-33,2.7,linens,,2.00705E+13,19450529,digitised,JA70003000,,1970047,27370.4965,760.0476,,
33,,1945,Person,1945-33,1.7,linens,,2.00705E+13,19450529,digitised,JA70003000,,1970048,17896.5728,548.9933,,
333,,1945,Lightning,1945-333,29.8,linens,,2.00705E+13,19450803,digitised,JA70003000,,1970049,298063.3456,2238.9831,,
341,,1945,Lightning,1945-341,85.9,linens,,2.00705E+13,19450724,digitised,JA70003000,,1970050,859518.0574,3812.4156,,
58,,1945,Person,1945-58,705.5,linens,,2.00705E+13,19450527,digitised,JA70003000,,1970129,7055900.868,20599.8012,,
580,,1945,Lightning,1945-580,208,linens,,2.00705E+13,19450809,digitised,JA70003000,,1970130,2080005.242,8386.5964,,
599,,1945,Lightning,1945-599,272.1,linens,,2.00705E+13,19450802,digitised,JA70003000,,1970131,2721570.069,6285.5097,,
600,,1945,Lightning,1945-600,437.1,linens,,2.00705E+13,19450816,digitised,JA70003000,,1970132,4371658.096,10478.6319,,
1a,,1946,Person,1946-1a,10,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970224,100452.1998,2092.6722,,
2,,1946,Person,Feb-46,39.6,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970225,396641.1881,2637.6561,,
2,,1946,Person,Feb-46,2.7,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970226,27925.7203,641.7999,,
2,,1946,Person,Feb-46,20.5,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970227,205313.5008,2364.0655,,
203,,1946,Lightning,1946-203,171.1,linens,,2.00705E+13,19460729,digitised,JA70003000,,1970228,1711257.663,9597.8928,,
20a,,1946,Person,1946-20a,48.8,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970229,488598.7785,2617.4067,,
212,,1946,Lightning,1946-212,0.6,linens,,2.00705E+13,19460728,digitised,JA70003000,,1970230,6255.6966,291.6854,,
4,,1946,Person,Apr-46,169.3,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970350,1693269.697,7545.0136,,
40,,1946,Person,1946-40,0.3,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970351,3726.53,226.7787,,
40,,1946,Person,1946-40,4.7,linens,,2.00705E+13,19460508,digitised,JA70003000,,1970352,47462.7527,990.2234,,
400,,1946,Person,1946-400,19.2,linens,,2.00705E+13,19460820,digitised,JA70003000,,1970353,192909.0682,2043.6146,,
405,,1946,Lightning,1946-405,16,linens,,2.00705E+13,19460822,digitised,JA70003000,,1970354,160290.5808,1750.5072,,
405,,1946,Lightning,1946-405,50.5,linens,,2.00705E+13,19460826,digitised,JA70003000,,1970355,505700.515,3361.9443,,
344,,1945,Lightning,1945-344,104.7,linens,,2.00705E+13,19450814,digitised,JA70003000,,1970051,1047369.226,4752.1647,,
344,,1945,Lightning,1945-344,130.6,linens,,2.00705E+13,19450803,digitised,JA70003000,,1970052,1306956.061,5474.3707,,
344,,1945,Lightning,1945-344,5.5,linens,,2.00705E+13,19450803,digitised,JA70003000,,1970053,55667.6836,897.9685,,
354,,1945,Lightning,1945-354,902.8,linens,,2.00705E+13,19450706,digitised,JA70003000,,1970054,9028946.697,13692.9453,,
356,,1945,Lightning,1945-356,33.3,linens,,2.00705E+13,19450803,digitised,JA70003000,,1970055,333198.8125,2231.2361,,
357,,1945,Lightning,1945-357,89.9,linens,,2.00705E+13,19450803,digitised,JA70003000,,1970056,899572.5589,3830.0105,,
606,,1945,Lightning,1945-606,1546.5,linens,,2.00705E+13,19450813,digitised,JA70003000,,1970133,15465131.67,21683.1226,,
61,,1945,Person,1945-61,38.7,linens,,2.00705E+13,19450529,digitised,JA70003000,,1970134,387917.6149,2421.9668,,
62,,1945,Person,1945-62,29.2,linens,,2.00705E+13,19450529,digitised,JA70003000,,1970135,292278.4115,2364.4646,,
64,,1945,Person,1945-64,365.7,linens,,2.00705E+13,19450823,digitised,JA70003000,,1970136,3657608.635,8023.248,,
65,,1945,Person,1945-65,74.1,linens,,2.00705E+13,19450622,digitised,JA70003000,,1970137,741218.9056,4187.5884,,
6b,,1945,Person,1945-6b,25.2,linens,,2.00705E+13,19450505,digitised,JA70003000,,1970138,252378.4137,2455.7358,,
213,,1946,Person,1946-213,103.7,linens,,2.00705E+13,19460805,digitised,JA70003000,,1970231,1037590.653,5531.93,,
214,,1946,Lightning,1946-214,364.7,linens,,2.00705E+13,19460727,digitised,JA70003000,,1970232,3647384.474,9979.9107,,
214,,1946,Lightning,1946-214,13.6,linens,,2.00705E+13,19460727,digitised,JA70003000,,1970233,136165.56,1349.9892,,
214,,1946,Lightning,1946-214,19.9,linens,,2.00705E+13,19460727,digitised,JA70003000,,1970234,199542.5738,1819.9283,,
214,,1946,Lightning,1946-214,23.5,linens,,2.00705E+13,19460727,digitised,JA70003000,,1970235,235089.3377,2058.0288,,
216,,1946,Person,1946-216,0.9,linens,,2.00705E+13,19460728,digitised,JA70003000,,1970236,9070.1506,358.1864,,
406,,1946,Lightning,1946-406,57.1,linens,,2.00705E+13,19460820,digitised,JA70003000,,1970356,571539.0171,4922.69,,
407,,1946,Lightning,1946-407,20.1,linens,,2.00705E+13,19460812,digitised,JA70003000,,1970357,201959.1734,2094.3234,,
408,,1946,Lightning,1946-408,124.9,linens,,2.00705E+13,19460820,digitised,JA70003000,,1970358,1248995.402,10089.5471,,
409,,1946,Person,1946-409,190.8,linens,,2.00705E+13,19460822,digitised,JA70003000,,1970359,1908377.345,6268.1269,,
412,,1946,Lightning,1946-412,26.9,linens,,2.00705E+13,19460821,digitised,JA70003000,,1970360,269424.1061,1873.6424,,
418,,1946,Person,1946-418,227.9,linens,,2.00705E+13,19460819,digitised,JA70003000,,1970361,2279631.588,7776.4524,,
358,,1945,Lightning,1945-358,2268.5,linens,,2.00705E+13,19450811,digitised,JA70003000,,1970057,22685813.35,31193.5423,,
36,,1945,Person,1945-36,43.4,linens,,2.00705E+13,19450527,digitised,JA70003000,,1970058,434512.5418,3382.1489,,
362,,1945,Person,1945-362,112.9,linens,,2.00705E+13,19450819,digitised,JA70003000,,1970059,1129750.568,5174.6789,,
364,,1945,Person,1945-364,87.5,linens,,2.00705E+13,19450808,digitised,JA70003000,,1970060,875459.9906,4546.1441,,
37,,1945,Person,1945-37,83.7,linens,,2.00705E+13,19450522,digitised,JA70003000,,1970061,837755.196,3736.8346,,
80,,1945,Lightning,1945-80,3049.6,linens,,2.00705E+13,19450713,digitised,JA70003000,,1970139,30496551.48,30458.5229,,
84,,1945,Person,1945-84,5.4,linens,,2.00705E+13,19450812,digitised,JA70003000,,1970140,54567.6401,891.3631,,
84,,1945,Person,1945-84,18,linens,,2.00705E+13,19450812,digitised,JA70003000,,1970141,180694.0384,1651.5289,,
84,,1945,Person,1945-84,16.1,linens,,2.00705E+13,19450812,digitised,JA70003000,,1970142,161821.6051,1543.1259,,
84,,1945,Person,1945-84,22.9,linens,,2.00705E+13,19450812,digitised,JA70003000,,1970143,229671.1451,1758.6656,,
84,,1945,Person,1945-84,7.6,linens,,2.00705E+13,19450812,digitised,JA70003000,,1970144,76805.6286,1129.1587,,
84,,1945,Person,1945-84,10.4,linens,,2.00705E+13,19450812,digitised,JA70003000,,1970145,104759.3925,1242.3677,,
219,,1946,Lightning,1946-219,11.9,linens,,2.00705E+13,19460728,digitised,JA70003000,,1970237,119991.8579,1481.7911,,
225,,1946,Lightning,1946-225,66.1,linens,,2.00705E+13,19460804,digitised,JA70003000,,1970238,661726.7485,3411.0257,,
23,,1946,Person,1946-23,9.1,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970239,91507.4561,1225.9379,,
23,,1946,Person,1946-23,6,linens,,2.00705E+13,19460507,digitised,JA70003000,,1970240,60136.1591,918.9425,,
230,,1946,Person,1946-230,0.9,linens,,2.00705E+13,19460731,digitised,JA70003000,,1970241,9668.6526,430.5649,,
230,,1946,Person,1946-230,362.6,linens,,2.00705E+13,19460808,digitised,JA70003000,,1970242,3626886.363,9057.1361,,
232,,1946,Lightning,1946-232,15.6,linens,,2.00705E+13,19460801,digitised,JA70003000,,1970243,156697.6158,1689.2369,,
233,,1946,Person,1946-233,25.9,linens,,2.00705E+13,19460805,digitised,JA70003000,,1970244,259650.6234,2238.5836,,
234,,1946,Person,1946-234,2.6,linens,,2.00705E+13,19460728,digitised,JA70003000,,1970245,26881.1663,617.4303,,
419,,1946,Person,1946-419,821.9,linens,,2.00705E+13,19460817,digitised,JA70003000,,1970362,8219160.508,15387.3639,,
41b,,1946,Person,1946-41b,10.6,linens,,2.00705E+13,19460515,digitised,JA70003000,,1970363,106149.4163,1537.993,,
420,,1946,Person,1946-420,99.5,linens,,2.00705E+13,19460817,digitised,JA70003000,,1970364,995871.3131,5509.5942,,
422,,1946,Person,1946-422,140,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970365,1400837.339,5551.3062,,
423,,1946,Person,1946-423,829.9,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970366,8299294.468,14680.199,,
37,,1945,Person,1945-37,281.5,linens,,2.00705E+13,19450522,digitised,JA70003000,,1970062,2815323.11,8712.3956,,
37,,1945,Person,1945-37,29.3,linens,,2.00705E+13,19450522,digitised,JA70003000,,1970063,293531.7043,2788.0904,,
37,,1945,Person,1945-37,63.2,linens,,2.00705E+13,19450522,digitised,JA70003000,,1970064,632172.8425,3164.0574,,
370,,1945,Person,1945-370,269,linens,,2.00705E+13,19450814,digitised,JA70003000,,1970065,2690658.628,7307.3932,,
372a,,1945,Lightning,1945-372a,228.7,linens,,2.00705E+13,19450813,digitised,JA70003000,,1970066,2287667.369,7216.391,,
374,,1945,Lightning,1945-374,24,linens,,2.00705E+13,19450809,digitised,JA70003000,,1970067,240846.3985,2164.0614,,
89,,1945,Lightning,1945-89,61.3,linens,,2.00705E+13,19450710,digitised,JA70003000,,1970146,613898.0899,3454.4522,,
95,,1945,Person,1945-95,1020.6,linens,,2.00705E+13,19450727,digitised,JA70003000,,1970147,10206447.08,17283.7023,,
98,,1945,Person,1945-98,453.6,linens,,2.00705E+13,19450711,digitised,JA70003000,,1970148,4536631.315,9739.7623,,
236,,1946,Person,1946-236,32.5,linens,,2.00705E+13,19460730,digitised,JA70003000,,1970246,325736.6989,2413.4756,,
236,,1946,Lightning,1946-236,19.1,linens,,2.00705E+13,19460729,digitised,JA70003000,,1970247,191693.7643,1732.5416,,
237,,1946,Person,1946-237,8.6,linens,,2.00705E+13,19460726,digitised,JA70003000,,1970248,86911.9937,1090.343,,
237,,1946,Person,1946-237,9.3,linens,,2.00705E+13,19460726,digitised,JA70003000,,1970249,93577.125,1109.8473,,
237,,1946,Person,1946-237,20.8,linens,,2.00705E+13,19460726,digitised,JA70003000,,1970250,208043.2597,2033.8136,,
237,,1946,Person,1946-237,7.2,linens,,2.00705E+13,19460726,digitised,JA70003000,,1970251,72526.6372,998.9006,,
237,,1946,Person,1946-237,23.6,linens,,2.00705E+13,19460726,digitised,JA70003000,,1970252,236083.6772,2207.5771,,
237,,1946,Person,1946-237,11,linens,,2.00705E+13,19460726,digitised,JA70003000,,1970253,110918.5931,1388.4182,,
237,,1946,Person,1946-237,10.2,linens,,2.00705E+13,19460726,digitised,JA70003000,,1970254,102094.2071,1160.0919,,
239,,1946,Person,1946-239,49.8,linens,,2.00705E+13,19460723,digitised,JA70003000,,1970255,498765.5391,3542.3344,,
24,,1946,Person,1946-24,1,linens,,2.00705E+13,19460509,digitised,JA70003000,,1970256,10022.9529,369.0449,,
240,,1946,Lightning,1946-240,56.3,linens,,2.00705E+13,19460809,digitised,JA70003000,,1970257,563131.8846,3920.0931,,
425,,1946,Person,1946-425,69.9,linens,,2.00705E+13,19460904,digitised,JA70003000,,1970367,699076.5255,4568.1632,,
428,,1946,Lightning,1946-428,1.8,linens,,2.00705E+13,19460822,digitised,JA70003000,,1970368,18013.8385,499.177,,
42a,,1946,Person,1946-42a,10.7,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970369,107943.4543,1335.2995,,
43,,1946,Person,1946-43,483.3,linens,,2.00705E+13,19460518,digitised,JA70003000,,1970370,4833500.601,12934.4795,,
43,,1946,Person,1946-43,3341.8,linens,,2.00705E+13,19460609,digitised,JA70003000,,1970371,33418828.4,28972.1014,,
374,,1945,Person,1945-374,3864.9,linens,,2.00705E+13,19450816,digitised,JA70003000,,1970068,38649264.35,27925.265,,
379,,1945,Lightning,1945-379,1006.3,linens,,2.00705E+13,19450813,digitised,JA70003000,,1970069,10063204.92,15890.4326,,
381,,1945,Lightning,1945-381,102.6,linens,,2.00705E+13,19450803,digitised,JA70003000,,1970070,1026730.065,4330.785,,
99,,1945,Lightning,1945-99,904,linens,,2.00705E+13,19450711,digitised,JA70003000,,1970149,9040558.983,15490.3846,,
100,,1946,Person,1946-100,2.6,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970150,26194.7413,600.414,,
101,,1946,Person,1946-101,196.9,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970151,1969548.906,6684.8777,,
102a,,1946,Person,1946-102a,525.6,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970152,5256539.43,10285.8434,,
103,,1946,Person,1946-103,473.6,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970153,4736272.615,9831.5527,,
241,,1946,Lightning,1946-241,24.1,linens,,2.00705E+13,19460729,digitised,JA70003000,,1970258,241083.0127,2030.2903,,
242,,1946,Lightning,1946-242,25.2,linens,,2.00705E+13,19460728,digitised,JA70003000,,1970259,252692.7141,1953.6593,,
244,,1946,Person,1946-244,532.8,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970260,5328622.028,8622.2833,,
24a,,1946,Person,1946-24a,48.9,linens,,2.00705E+13,19460509,digitised,JA70003000,,1970261,489694.4589,2570.9151,,
25,,1946,Person,1946-25,5.1,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970262,51366.5458,834.8776,,
254,,1946,Person,1946-254,65.4,linens,,2.00705E+13,19460802,digitised,JA70003000,,1970263,654354.3177,3360.655,,
255,,1946,Person,1946-255,3,linens,,2.00705E+13,19460802,digitised,JA70003000,,1970264,30377.1107,646.2616,,
25b,,1946,Person,1946-25b,0.4,linens,,2.00705E+13,19460510,digitised,JA70003000,,1970265,4758.1956,268.9113,,
26,,1946,Person,1946-26,7.5,linens,,2.00705E+13,19460510,digitised,JA70003000,,1970266,75570.3181,1115.7952,,
43,,1946,Person,1946-43,138.6,linens,,2.00705E+13,19460507,digitised,JA70003000,,1970372,1386514.799,4583.093,,
433,,1946,Person,1946-433,72.8,linens,,2.00705E+13,19460815,digitised,JA70003000,,1970373,728812.5444,3110.8773,,
434,,1946,Person,1946-434,479.5,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970374,4795926.108,10627.0083,,
437,,1946,Person,1946-437,662.3,linens,,2.00705E+13,19460825,digitised,JA70003000,,1970375,6623456.998,18252.8975,,
438,,1946,Person,1946-438,30,linens,,2.00705E+13,19460821,digitised,JA70003000,,1970376,300355.5534,2113.551,,
382,,1945,Lightning,1945-382,327.9,linens,,2.00705E+13,19450815,digitised,JA70003000,,1970071,3279786.566,9425.3492,,
385,,1945,Person,1945-385,43.3,linens,,2.00705E+13,19450821,digitised,JA70003000,,1970072,433289.9023,2766.2123,,
388,,1945,Lightning,1945-388,11.6,linens,,2.00705E+13,19450816,digitised,JA70003000,,1970073,116103.2975,1437.9101,,
388,,1945,Lightning,1945-388,27.6,linens,,2.00705E+13,19450816,digitised,JA70003000,,1970074,276492.6038,2432.3703,,
392,,1945,Lightning,1945-392,64.1,linens,,2.00705E+13,19450827,digitised,JA70003000,,1970075,641128.8024,3396.264,,
394,,1945,Lightning,1945-394,401.9,linens,,2.00705E+13,19450817,digitised,JA70003000,,1970076,4019026.876,8846.0052,,
103,,1946,Person,1946-103,20.8,linens,,2.00705E+13,19460804,digitised,JA70003000,,1970154,208864.5754,1770.9571,,
103,,1946,Person,1946-103,38.8,linens,,2.00705E+13,19460804,digitised,JA70003000,,1970155,388393.6587,3480.6381,,
104,,1946,Person,1946-104,2947.8,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970156,29478453.23,28432.4301,,
105a,,1946,Person,1946-105a,197.1,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970157,1971780.671,7230.8653,,
106a,,1946,Person,1946-106a,29.7,linens,,2.00705E+13,19460530,digitised,JA70003000,,1970158,297438.0575,2824.8049,,
108,,1946,Lightning,1946-108,140,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970159,1400309.281,5261.4383,,
108,,1946,Lightning,1946-108,11.3,linens,,2.00705E+13,19460517,digitised,JA70003000,,1970160,113892.3139,1577.6453,,
26,,1946,Person,1946-26,307.7,linens,,2.00705E+13,19460516,digitised,JA70003000,,1970267,3077030.232,6944.4311,,
26,,1946,Person,1946-26,3.4,linens,,2.00705E+13,19460516,digitised,JA70003000,,1970268,34567.4167,912.0769,,
26,,1946,Person,1946-26,1.7,linens,,2.00705E+13,19460516,digitised,JA70003000,,1970269,17278.3917,487.3967,,
26,,1946,Person,1946-26,9.9,linens,,2.00705E+13,19460509,digitised,JA70003000,,1970270,99120.7952,1313.5819,,
264,,1946,Person,1946-264,69.9,linens,,2.00705E+13,19460803,digitised,JA70003000,,1970271,699857.631,3731.6385,,
265,,1946,Lightning,1946-265,1.2,linens,,2.00705E+13,19460704,digitised,JA70003000,,1970272,12562.1642,504.3904,,
267,,1946,Person,1946-267,12.2,linens,,2.00705E+13,19460814,digitised,JA70003000,,1970273,122580.5275,1671.7841,,
45,,1946,Person,1946-45,259.1,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970377,2591802.875,7275.2556,,
45,,1946,Person,1946-45,36.7,linens,,2.00705E+13,19460510,digitised,JA70003000,,1970378,367815.2943,2427.1819,,
451,,1946,Lightning,1946-451,1484.6,linens,,2.00705E+13,19460827,digitised,JA70003000,,1970379,14846916.13,24837.14,,
453,,1946,Person,1946-453,592.7,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970380,5927450.022,10847.1114,,
454,,1946,Person,1946-454,34.6,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970381,346725.7683,2533.0143,,
396,,1945,Person,1945-396,314.5,linens,,2.00705E+13,19450824,digitised,JA70003000,,1970077,3145692.626,7947.2537,,
4,,1945,Person,Apr-45,25.4,linens,,2.00705E+13,19450505,digitised,JA70003000,,1970078,254515.2481,2530.0983,,
406,,1945,Person,1945-406,172,linens,,2.00705E+13,19450814,digitised,JA70003000,,1970079,1720727.369,6734.3453,,
109,,1946,Person,1946-109,8269.2,linens,,2.00705E+13,19460430,assumed_shape,JA70003000,,1970161,82692328.45,47210.991,,
10b,,1946,Person,1946-10b,15.3,linens,,2.00705E+13,19460510,digitised,JA70003000,,1970162,153205.3882,1674.3116,,
110,,1946,Person,1946-110,23.9,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970163,239838.5217,2153.0051,,
110,,1946,Person,1946-110,0.3,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970164,3441.0709,227.1624,,
267,,1946,Lightning,1946-267,162.2,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970274,1622488.599,5037.0745,,
269,,1946,Lightning,1946-269,10.1,linens,,2.00705E+13,19460726,digitised,JA70003000,,1970275,101264.2151,1198.7993,,
273,,1946,Person,1946-273,49.9,linens,,2.00705E+13,19460803,digitised,JA70003000,,1970276,499069.0456,3706.6057,,
28,,1946,Person,1946-28,161.1,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970277,1611540.215,6054.4667,,
286,,1946,Person,1946-286,62.6,linens,,2.00705E+13,19460816,digitised,JA70003000,,1970278,626457.6614,3611.7022,,
286a,,1946,Person,1946-286a,1.4,linens,,2.00705E+13,19460811,digitised,JA70003000,,1970279,14415.3908,522.733,,
287,,1946,Lightning,1946-287,64.1,linens,,2.00705E+13,19460803,digitised,JA70003000,,1970280,641912.7388,3751.0887,,
291,,1946,Person,1946-291,445.8,linens,,2.00705E+13,19460821,digitised,JA70003000,,1970281,4458592.973,14875.7777,,
455,,1946,Person,1946-455,2.4,linens,,2.00705E+13,19460819,digitised,JA70003000,,1970382,24728.852,630.747,,
459,,1946,Person,1946-459,3.7,linens,,2.00705E+13,19460825,digitised,JA70003000,,1970383,37078.911,830.3897,,
45a,,1946,Person,1946-45a,739.1,linens,,2.00705E+13,19460519,digitised,JA70003000,,1970384,7391795.413,13635.0194,,
46,,1946,Person,1946-46,0.8,linens,,2.00705E+13,19460522,digitised,JA70003000,,1970385,8042.631,345.9245,,
460,,1946,Person,1946-460,8.2,linens,,2.00705E+13,19460821,digitised,JA70003000,,1970386,82558.7031,1082.2063,,
462,,1946,Person,1946-462,9.7,linens,,2.00705E+13,19460827,digitised,JA70003000,,1970387,97051.6195,1183.8431,,
463,,1946,Lightning,1946-463,64.8,linens,,2.00705E+13,19460827,digitised,JA70003000,,1970388,648259.2612,4059.8922,,
467,,1946,Person,1946-467,415.5,linens,,2.00705E+13,19460831,digitised,JA70003000,,1970389,4155368.417,13850.2783,,
41,,1945,Person,1945-41,7222.8,linens,,2.00705E+13,19450527,digitised,JA70003000,,1970080,72228985.63,54539.0124,,
41a,,1945,Person,1945-41a,28,linens,,2.00705E+13,19450528,digitised,JA70003000,,1970081,280034.3559,2077.7253,,
420,,1945,Person,1945-420,79.3,linens,,2.00705E+13,19450822,digitised,JA70003000,,1970082,793497.6427,3739.0118,,
420,,1945,Person,1945-420,234.8,linens,,2.00705E+13,19450822,digitised,JA70003000,,1970083,2348861.52,7028.7677,,
112,,1946,Person,1946-112,473.4,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970165,4734255.883,20139.8968,,
114,,1946,Person,1946-114,233,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970166,2330006.756,9007.9044,,
114,,1946,Lightning,1946-114,0.8,linens,,2.00705E+13,19460729,digitised,JA70003000,,1970167,8681.0013,361.3559,,
115,,1946,Person,1946-115,63.9,linens,,2.00705E+13,20070516,digitised,JA70003000,,1970168,639707.7103,3280.058,,
115,,1946,Lightning,1946-115,1,linens,,2.00705E+13,19460729,digitised,JA70003000,,1970169,10761.0315,380.1692,,
117,,1946,Person,1946-117,0.3,linens,,2.00705E+13,19460610,digitised,JA70003000,,1970170,3513.1979,214.7199,,
117,,1946,Lightning,1946-117,23.5,linens,,2.00705E+13,19460729,digitised,JA70003000,,1970171,235116.7482,1983.1949,,
294,,1946,Lightning,1946-294,473.5,linens,,2.00705E+13,19460820,digitised,JA70003000,,1970282,4735449.688,9849.3511,,
295,,1946,Lightning,1946-295,153.3,linens,,2.00705E+13,19460820,digitised,JA70003000,,1970283,1533058.992,4510.0151,,
296,,1946,Person,1946-296,1826.9,linens,,2.00705E+13,19460819,digitised,JA70003000,,1970284,18269650.02,20884.2976,,
297,,1946,Lightning,1946-297,0.8,linens,,2.00705E+13,19460820,digitised,JA70003000,,1970285,8036.7701,334.3229,,
299,,1946,Lightning,1946-299,45.2,linens,,2.00705E+13,19460820,digitised,JA70003000,,1970286,452292.9431,2830.6109,,
468205059,,1946,Lightning,1946-468205059,23.1,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970390,231594.2228,2075.0625,,
468205165,,1946,Person,1946-468205165,109.2,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970391,1092031.104,4290.289,,
468205207,,1946,Lightning,1946-468205207,53,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970392,530602.7024,3521.6366,,
468205290,,1946,Person,1946-468205290,41.4,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970393,414006.6941,3020.6931,,
468205426,,1946,Lightning,1946-468205426,77,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970394,770424.8246,3804.5607,,
468205532,,1946,Person,1946-468205532,24.2,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970395,242212.2777,3004.1216,,
468213384,,1946,Lightning,1946-468213384,19.3,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970396,193309.7822,1938.2691,,
468214388,,1946,Lightning,1946-468214388,6.5,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970397,65468.058,994.1816,,
468214388,,1946,Lightning,1946-468214388,34.5,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970398,345493.2371,2509.705,,
469,,1946,Lightning,1946-469,2,linens,,2.00705E+13,19460807,digitised,JA70003000,,1970399,20938.396,542.3911,,
469202240,,1946,Person,1946-469202240,115.2,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970400,1152137.855,5953.6264,,
469202390,,1946,Person,1946-469202390,119.8,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970401,1198632.252,5312.5749,,
469206364,,1946,Person,1946-469206364,296.8,mylars,,2.00705E+13,20070516,digitised,JA70003000,,1970402,2968303.035,11275.7481,,
421,,1945,Lightning,1945-421,46.5,linens,,2.00705E+13,19450822,digitised,JA70003000,,1970084,465085.6228,3257.3936,,
423,,1945,Lightning,1945-423,110.3,linens,,2.00705E+13,19450820,digitised,JA70003000,,1970085,1103383.213,4132.9633,,
423,,1945,Person,1945-423,59.7,linens,,2.00705E+13,19450817,digitised,JA70003000,,1970086,597232.3463,3485.8226,,
428,,1945,Lightning,1945-428,31.6,linens,,2.00705E+13,19450811,digitised,JA70003000,,1970087,316040.5838,2254.0781,,
429,,1945,Lightning,1945-429,1947.8,linens,,2.00705E+13,19450814,digitised,JA70003000,,1970088,19478805.72,17811.3904,,
433,,1945,Person,1945-433,212.6,linens,,2.00705E+13,19450821,digitised,JA70003000,,1970089,2126009.695,6095.8835,,
434,,1945,Lightning,1945-434,18.8,linens,,2.00705E+13,19450813,digitised,JA70003000,,1970090,188403.4518,1638.7575,,
118,,1946,Person,1946-118,225.7,linens,,2.00705E+13,19460826,digitised,JA70003000,,1970172,2257084.01,6253.6122,,
